"close","schliessen",module,Magento_AdminNotification
"Close","Schliessen",module,Magento_AdminNotification
"Mass Merchant","Grosshandel",module,Magento_Analytics
"Dismiss All Completed Tasks","Alle erledigten Aufgaben schliessen",module,Magento_AsynchronousOperations
"Close","Schliessen",module,Magento_B2b
"Save &amp; Close","Speichern &amp; Schliessen",module,Magento_Backend
"Close","Schliessen",module,Magento_Backend
"Big Image","Grosses Bild",module,Magento_Backend
"We could not detect a size.","Wir konnten keine Grösse erkennen.",module,Magento_Backend
"Street Address","Strasse",module,Magento_Backend
"Street Address Line 2","Strasse 2. Zeile",module,Magento_Backend
"Please enter a number 1 or greater in this field.","Bitte tragen Sie eine Zahl grösser oder gleich 1 in dieses Feld ein.",module,Magento_Backend
"Login is Case Sensitive","Login ist Gross-/Kleinschreibung",module,Magento_Backend
"If current frame position does not cover utmost pages, it renders the link to current position plus/minus this value.","Falls die aktuelle Rahmenposition die grössten Seiten nicht abdeckt, wird der Link zur aktuellen Position plus/minus dieses Wertes gerendert.",module,Magento_Backend
"To complete the rollback, please deselect ""Put store into maintenance mode"" or update your permissions.","Um das Rollback abzuschliessen, deaktivieren Sie bitte die Option ""Store in den Wartungsmodus setzen"" oder aktualisieren Sie Ihre Berechtigungen.",module,Magento_Backup
"You will lose any data created since the backup was made, including admin users, customers and orders.","Sie werden alle Daten verlieren, die seit der letzten Sicherung erzeugt wurden. Dies schliesst Admin-Benutzer, Kunden und Bestellungen ein.",module,Magento_Backup
"Exclude","Ausschliessen",module,Magento_Backup
"Exclude media folder from backup","Medienordner von Sicherung ausschliessen",module,Magento_Backup
"Size(bytes)","Grösse (Bytes)",module,Magento_Backup
"Footer","Fusszeile",module,Magento_Banner
"Refund amount is too large.","Der zu erstattende Betrag ist zu gross.",module,Magento_Braintree
"Settlement amount is too large.","Der Betrag der Abrechnung ist zu gross.",module,Magento_Braintree
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Akzeptieren Sie Kreditkarten und PayPal in Ihrem Magento-Shop!<br />Keine Einrichtungsgebühren oder laufende Kosten und Ihre Kunden müssen Ihren Shop nie verlassen, um einen Kauf abzuschliessen.",module,Magento_Braintree
"Street address is required.","Strasse ist erforderlich.",module,Magento_Braintree
"Street address is too long.","Strasse ist zu lang.",module,Magento_Braintree
"Close","Schliessen",module,Magento_Bundle
"<strong>Attention</strong>: Captcha is case sensitive.","<strong>Achtung</strong>: Gross-/Kleinschreibung des Captcha beachten.",module,Magento_Captcha
"Attention: Captcha is case sensitive.","Achtung: Gross-/Kleinschreibung des Captcha beachten.",module,Magento_Captcha
"Case Sensitive","Gross-/Kleinschreibung beachten",module,Magento_Captcha
"Close Window","Fenster schliessen",module,Magento_Catalog
"Save & Close","Speichern & Schliessen",module,Magento_Catalog
"Size for %1","Grösse für %1",module,Magento_Catalog
"Invalid product id. Should be numeric value greater than 0","Ungültige Produkt-ID. ID sollte ein numerischer Wert grösser als 0 sein",module,Magento_Catalog
"Make sure the To Date is later than or the same as the From Date.","Stellen Sie sicher, dass das Bis-Datum grösser oder gleich dem Ab-Datum ist.",module,Magento_Catalog
"Group price must be a number greater than 0.","Gruppenpreis muss eine Zahl grösser als 0 sein.",module,Magento_Catalog
"Please enter a number 0 or greater in this field.","Bitte geben Sie eine Zahl grösser gleich 0 ein.",module,Magento_Catalog
"The maximum allowed image size for '%1' is %2x%3 px.","Die maximal erlaubte Bildgrösse für '%1' ist %2x%3 px.",module,Magento_Catalog
"The file '%1' you uploaded is larger than the %2 megabytes allowed by our server.","Die Datei '%1' die Sie hochgeladen haben ist grösser als die %2 Megabytes, die von unserem Server erlaubt sind.",module,Magento_Catalog
"Maximum Image Size","Maximale Bildgrösse",module,Magento_Catalog
"Manage Titles (Size, Color, etc.)","Verwalten von Titeln (Grösse, Farbe usw.)",module,Magento_Catalog
"Sorry, we're unable to complete this request.","Entschuldigung, leider konnten wir Ihre Anfrage nicht abschliessen.",module,Magento_Catalog
"Image Size","Bildgrösse",module,Magento_Catalog
"{size}","(Grösse)",module,Magento_Catalog
"Frame Size","Frame-Grösse",module,Magento_CatalogEvent
"currentPage value %1 specified is greater than the number of pages available.","Aktuelle Seite %1 ist grösser als die Anzahl der verfügbaren Seiten.",module,Magento_CatalogGraphQl
"currentPage value %1 specified is greater than the %2 page(s) available.","Aktuelle Seite %1 ist grösser als die %2 verfügbare(n) Seite(n).",module,Magento_CatalogGraphQl
"Discount value should be 0 or greater.","Rabatt muss grösser 0 sein.",module,Magento_CatalogRule
"Close","Schliessen",module,Magento_Checkout
"Close","Schliessen",module,Magento_CheckoutAgreements
"Enabled by Default","Standardmässig aktiviert",module,Magento_Cms
"Disabled by Default","Standardmässig deaktiviert",module,Magento_Cms
"We could not detect a size.","Wir konnten keine Grösse erkennen.",module,Magento_Cms
"Save & Close","Speichern & Schliessen",module,Magento_Company
"Street Address:","Strasse:",module,Magento_Company
"Street Address","Strasse",module,Magento_Company
"Comma-separated. The recipient(s) will get a copy of an email which is by default sent to the Company Admin only.","Komma-getrennt. Die Empfänger erhalten eine Kopie der E-Mail, welche standardmässig nur an den Firmen-Admin verschickt wird.",module,Magento_Company
"By default, the selected payment methods are available for all new companies. If your Magento site has multiple websites, on a specific website the buyer will be able to pay with the methods available for that website only.","Standardmässig stehen die ausgewählten Zahlungsarten für alle neuen Unternehmen zur Verfügung. Wenn Ihr Magento-Shop mehrere Websites hat, kann ein Käufer nur jene Zahlungsarten nutzen, die für die entsprechende Website hinterlegt sind.",module,Magento_CompanyPayment
"The sender name ""%1"" is not valid. Please use only visible characters and spaces.","Der Absendername ""%1"" ist ungültig. Bitte benutzen Sie ausschliesslich sichtbare Zeichen und Leerzeichen.",module,Magento_Config
